1,ELECTRONIC,,,
2,NO-RESPONSE,115209,PROBLEM,1
3,POWER-LOSS,115209,CAUSE,2
4,CUT-DISCONNECTED,115209,CAUSE,2
5,COMPONENT-FAILURE,115209,CAUSE,2
6,SETTING,115209,CAUSE,2
7,LOOSE ,115209,CAUSE,2
8,PERFORMANCE-ISSUE,115209,PROBLEM,1
9,HIGH-TEMP,115209,CAUSE,8
10,SETTING,115209,CAUSE,8
11,COMPONENT-FAILURE,115209,CAUSE,8
12,LOOSE ,115209,CAUSE,8
13,DIRTY,115209,CAUSE,8
14,APPEARANCE,115209,PROBLEM,1
15,GRAFFITI,115209,CAUSE,14
16,LEAKAGE,115209,CAUSE,14
17,DIRTY,115209,CAUSE,14
18,PHYSICAL-DAMAGE,115209,CAUSE,14
19,LOOSE ,115209,CAUSE,14
20,ELECTRICAL,,,
21,NOT-OPERATIONAL,115209,PROBLEM,20
22,POWER-LOSS,115209,CAUSE,21
23,CUT-DISCONNECTED,115209,CAUSE,21
24,TRIPPED,115209,CAUSE,21
25,COMPONENT-FAILURE,115209,CAUSE,21
26,SETTING,115209,CAUSE,21
27,LOOSE ,115209,CAUSE,21
28,PERFORMANCE-ISSUE,115209,PROBLEM,20
29,HIGH-TEMP,115209,CAUSE,28
30,SETTING,115209,CAUSE,28
31,COMPONENT-FAILURE,115209,CAUSE,28
32,LOOSE ,115209,CAUSE,28
33,INSULATION,115209,CAUSE,28
34,APPEARANCE,115209,PROBLEM,20
35,GRAFFITI,115209,CAUSE,34
36,LEAKAGE,115209,CAUSE,34
37,DIRTY,115209,CAUSE,34
38,PHYSICAL-DAMAGE,115209,CAUSE,34
39,LOOSE ,115209,CAUSE,34
40,MECHANICAL,,,
41,NOT-OPERATIONAL,115209,PROBLEM,40
42,JAMMED,115209,CAUSE,41
43,ELECTRICAL-ISSUE,115209,CAUSE,41
44,COMPONENT-FAILURE,115209,CAUSE,41
45,SETTING,115209,CAUSE,41
46,PERFORMANCE-ISSUE,115209,PROBLEM,40
47,SETTING,115209,CAUSE,46
48,DISPLACEMENT,115209,CAUSE,46
49,LOOSE ,115209,CAUSE,46
50,VIBRATE-NOISE,115209,CAUSE,46
51,HIGH-TEMP,115209,CAUSE,46
52,APPEARANCE,115209,PROBLEM,40
53,CORROSION-EROSION ,115209,CAUSE,52
54,LEAKAGE,115209,CAUSE,52
55,LOOSE ,115209,CAUSE,52
56,DIRTY,115209,CAUSE,52
57,BROKEN-CRACKED,115209,CAUSE,52
58,LANDSCAPING,,,
59,DEBRIS-RUBBISH,115209,PROBLEM,58
60,ANIMAL,115209,PROBLEM,58
61,VEGETATION,115209,PROBLEM,58
62,NOXIOUS,115209,PROBLEM,58
63,FALLEN TREE,115209,PROBLEM,58
64,GRAFFITI,115209,PROBLEM,58
65,VANDALISM,115209,PROBLEM,58
66,STRUCTURE,,,
67,DEFORMED,115209,PROBLEM,66
68,CORROSION-EROSION ,115209,PROBLEM,66
69,LEAKAGE,115209,PROBLEM,66
70,INTEGRITY,115209,PROBLEM,66
71,LOOSE ,115209,PROBLEM,66
72,MISSING-COMPONENT,115209,PROBLEM,66
73,CRACKED,115209,PROBLEM,66
74,DISPLACEMENT,115209,PROBLEM,66
75,APPEARANCE,115209,PROBLEM,66
76,DIRTY,115209,CAUSE,75
77,GRAFFITI,115209,CAUSE,75
78,PAVEMENT,,,
79,CRACKED,115209,PROBLEM,78
80,POTHOLE,115209,PROBLEM,78
81,BLEEDING,115209,PROBLEM,78
82,RUTTING,115209,PROBLEM,78
83,EDGE,115209,PROBLEM,78
84,ROUGHNESS,115209,PROBLEM,78
85,SKID,115209,PROBLEM,78
86,MISSING-ITEM,115209,PROBLEM,78
87,REFLECTIVITY,115209,PROBLEM,78
88,HYDRAULIC,,,
89,LEAKAGE,115209,PROBLEM,88
90,BLOCKED,115209,PROBLEM,88
91,BROKEN-CRACKED,115209,PROBLEM,88
92,VIBRATE-NOISE,115209,PROBLEM,88
93,MISSING-COMPONENT,115209,PROBLEM,88
94,OVERFLOW,115209,PROBLEM,88
95,APPEARANCE,115209,PROBLEM,88
96,LOOSE ,115209,PROBLEM,88
97,DISPLACEMENT,115209,PROBLEM,88
